contenidoId,nombre,tipo,descripcion,duracion,anoEstreno,calificacionPromedio
C1,El Origen,Película,"Un ladrón que roba secretos mediante la tecnología de los sueños.",148,2010,4.7
C2,Stranger Things,Serie,"Un grupo de niños investiga sucesos paranormales en su pueblo.",50,2016,4.5
C3,Capítulo 1 - La desaparición, Episodio,"Will desaparece misteriosamente al volver a casa.",47,2016,4.6
C4,La La Land,Película,"Dos artistas comparten sueños de éxito en Los Ángeles.",128,2016,4.3
C5,Breaking Bad,Serie,"Un profesor de química se convierte en fabricante de metanfetamina.",47,2008,4.9
C6,Temporada 1 - Episodio 1, Episodio,"Walter White comienza su doble vida criminal.",58,2008,4.8
C7,Parasite,Película,"Una familia pobre se infiltra en la vida de una familia rica.",132,2019,4.6
C8,The Crown,Serie,"Drama histórico sobre el reinado de la reina Isabel II.",60,2016,4.4
C9,Temporada 2 - Episodio 3, Episodio,"Las tensiones en la familia real escalan en crisis estatal.",58,2017,4.2
C10,Interstellar,Película,"Exploración espacial para salvar la humanidad tras el colapso de la Tierra.",169,2014,4.8
C11,Chernobyl,Serie,"Recreación dramática del desastre nuclear de 1986.",60,2019,4.9
C12,Capítulo 4 - La Guardia, Episodio,"Los bomberos luchan contra el fuego infernal en la central.",57,2019,4.7
C13,El Padrino,Película,"La saga de la familia Corleone en el mundo de la mafia.",175,1972,4.9
C14,Friends,Serie,"Seis amigos navegan la vida y el amor en Nueva York.",22,1994,4.8
C15,Temporada 5 - Episodio 14, Episodio,"Ross y Rachel tienen un malentendido en su boda.",22,1999,4.5
